Registration ID,Year,Work Country,Region,Title Category,Registration Type,Gender,# of Abstract Submissions
104,6,USA,USA,Graduate Student,Student,Male,2
105,6,USA,USA,Academia Scientist,Student,Female,1
106,6,USA,USA,Academia Scientist,Student,Female,0
107,6,USA,USA,Professor,Professional/Academic,Male,0
108,6,USA,USA,Postdoctoral Researcher,Professional/Academic,Female,0
109,6,USA,USA,Industry,Professional/Academic,Male,0
110,6,USA,USA,Postdoctoral Researcher,Student,Male,0
111,6,Switzerland,Europe,Professor,Professional/Academic,Male,3
112,6,Saudi Arabia,Middle East,Postdoctoral Researcher,Professional/Academic,Male,0
113,6,Saudi Arabia,Middle East,Graduate Student,Student,Female,0
114,6,Canada,Other Americas,Graduate Student,Student,Female,1
115,6,USA,USA,Graduate Student,Student,Female,2
116,6,Saudi Arabia,Middle East,Graduate Student,Student,Female,0
117,6,Saudi Arabia,Middle East,Postdoctoral Researcher,Professional/Academic,Male,0
118,6,USA,USA,Graduate Student,Student,Female,0
119,6,USA,USA,Industry,Professional/Academic,Male,0
120,6,USA,USA,Graduate Student,Student,Female,1
121,6,USA,USA,Graduate Student,Student,Female,2
122,6,USA,USA,Professor,Professional/Academic,Male,0
123,6,Saudi Arabia,Middle East,Graduate Student,Student,Male,0
124,6,USA,USA,Graduate Student,Student,Female,0
125,6,Israel,Middle East,Professor,Professional/Academic,Male,0
126,6,USA,USA,Professor,Professional/Academic,Female,0
127,6,USA,USA,Graduate Student,Student,Male,0
128,6,USA,USA,Unknown/Other,Student,Male,0
129,6,Switzerland,Europe,Academia Scientist,Professional/Academic,Male,0
130,6,USA,USA,Industry,Professional/Academic,Male,0
131,6,USA,USA,Professor,Professional/Academic,Male,0
132,6,South Korea,Asia,Professor,Professional/Academic,Male,0
133,6,USA,USA,Graduate Student,Student,Male,1
134,6,Netherlands,Europe,Graduate Student,Student,Male,0
135,6,USA,USA,Undergraduate Student,Student,Female,0
136,6,USA,USA,Postdoctoral Researcher,Professional/Academic,Male,0
137,6,USA,USA,Graduate Student,Student,Male,0
138,6,USA,USA,Unknown/Other,Student,Female,0
139,6,USA,USA,Professor,Professional/Academic,Male,0
140,6,France,Europe,Academia Scientist,Professional/Academic,Male,1
141,6,USA,USA,Government Scientist,Professional/Academic,Male,0
142,6,USA,USA,Graduate Student,Student,Male,0
143,6,USA,USA,Professor,Professional/Academic,Male,0
144,6,USA,USA,Industry,Professional/Academic,Female,0
